username,total_score
PANKAJRANKA06,0
TanishaSingh16,0
sonalsk,0
Shivani1234thakur,0
Trupti-Padhiary,0
https:?usp=drivesdk,0
mySTRiouscoder,0
utkzas,0
Puneet-Pal-Singh,0
IshaanG,0
aishwaryanevrekar,0
vish-2000,0
iamankitkumar08062001,0
nike47,0
RitikaJain8818,0
Kannupriyasingh,0
sakshijainn,0
imrishabh18,0
megha-c,0
simranaggarwal1999,0
pandeyroshan,0
sagnik-chatterjee,0
Vipanshi,0
Mansi145,0
tarushi-22,0
nirjs,0
baacloud,0
ParichayDey8,0
shalusikarwar,0
vartika102,0
Nishi1499,0
Devforlife07,0
aswindinesh,0
jahgath,0
shubhamaniket,0
Jaseemck,0
Rahul-160,0
iamkishansharma,0
riza2802,0
nehasangeetajha,0
Mudita52,0
vermagaurav8,0
cracker108,0
DevanandGowda,0
nikipr1999,0
Basilleaf24,4
PavitraAritas,0
PROTechThor,0
Shweta0002,0
aryamanpuri,0
ambika1101,0
Kumaranupam2020,0
aashiverma,0
ishikabansal04,0
itspsneha,0
janhavidadhania,0
puruwastaken,0
VaishSiddharth,0
NikitaMasand,0
anahita-singla,0
aishnayak,0
illseption,7
krish-18,0
muskan-888,0
pearlyadav,0
navneet1907,0
digitalakhil,0
abhishek0220,0
nihara75,0
savitha111,0
vivekjoshi112,0
dhritiarora,0
plashaa,0
ashmitadutta,0
ankita0606,0
srimani-programmer,0
Harikrishnan6336,0
chttrjeankr,0
utkarsh0702,0
jananigm,0
iinancyyii,0
PavanBH,0
diru1100,0
Pratim14,0
shruthi-g-s,0
bhawika-agarwal,0
rishmithak,0
salway-dolkar,0
asmijafar20,0
ShreemaSimran,0
Jahnavi-Jonnalagadda,0
shivangisrivastava0408,0
Revathi-23,0
Sharanya-Bharghavi,0
kaavyajain,0
CharithBhat,0
sarthakforwet,0
HeroicHitesh,0
Rakshithalv,0
KhushbooGoel01,0
denyshubh,0
RAVITEJASr,0
crashoverloaded,0
karan16,0
rahul-sambyal,0
shubhammantri1,0
SatYu26,0
Jaya234,0
iamjoytank,0
abhishek745hg,0
Raksha25,0
Shrikha1,0
UmashankarTriforce,0
yashsingh7889,0
Arnabsaha6,0
AkshayTaphare57,0
aarushi934,0
hellcaster-arch,0
